date,serial_number,model,capacity_bytes,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_194_raw,smart_197_raw,smart_198_raw
2025-10-01,SIM000000,ST16000NM001G,16000900661248,0,2,34941,0,0,27,0,0
2025-10-02,SIM000000,ST16000NM001G,16000900661248,0,0,34965,0,0,31,0,0
2025-10-03,SIM000000,ST16000NM001G,16000900661248,0,0,34989,0,0,34,1,0
2025-10-04,SIM000000,ST16000NM001G,16000900661248,0,0,35013,0,0,33,1,0
2025-10-05,SIM000000,ST16000NM001G,16000900661248,0,0,35037,0,0,28,0,0
2025-10-06,SIM000000,ST16000NM001G,16000900661248,0,2,35061,0,0,31,0,0
2025-10-07,SIM000000,ST16000NM001G,16000900661248,0,0,35085,0,0,31,1,0
2025-10-08,SIM000000,ST16000NM001G,16000900661248,0,0,35109,0,0,33,0,0
2025-10-09,SIM000000,ST16000NM001G,16000900661248,0,0,35133,0,0,33,0,0
2025-10-10,SIM000000,ST16000NM001G,16000900661248,0,5,35157,0,0,30,0,0
2025-10-11,SIM000000,ST16000NM001G,16000900661248,0,0,35181,0,0,35,0,0
2025-10-12,SIM000000,ST16000NM001G,16000900661248,0,0,35205,0,0,29,0,0
2025-10-13,SIM000000,ST16000NM001G,16000900661248,0,1,35229,0,0,33,0,0
2025-10-14,SIM000000,ST16000NM001G,16000900661248,0,0,35253,0,0,32,0,0
2025-10-15,SIM000000,ST16000NM001G,16000900661248,0,0,35277,0,0,32,1,0
2025-10-16,SIM000000,ST16000NM001G,16000900661248,0,1,35301,0,0,33,0,0
2025-10-17,SIM000000,ST16000NM001G,16000900661248,0,1,35325,0,0,30,0,0
2025-10-18,SIM000000,ST16000NM001G,16000900661248,0,0,35349,0,0,31,0,0
2025-10-19,SIM000000,ST16000NM001G,16000900661248,0,3,35373,0,0,35,0,0
2025-10-20,SIM000000,ST16000NM001G,16000900661248,0,0,35397,0,0,32,0,0
2025-10-01,SIM000001,WUH721816ALE6L,16000900661248,0,0,25134,0,0,35,0,0
2025-10-02,SIM000001,WUH721816ALE6L,16000900661248,0,0,25158,0,0,28,0,0
2025-10-03,SIM000001,WUH721816ALE6L,16000900661248,0,0,25182,0,0,32,0,0
2025-10-04,SIM000001,WUH721816ALE6L,16000900661248,0,1,25206,0,0,32,0,0
2025-10-05,SIM000001,WUH721816ALE6L,16000900661248,0,1,25230,0,0,33,0,0
2025-10-06,SIM000001,WUH721816ALE6L,16000900661248,0,0,25254,0,0,30,0,0
2025-10-07,SIM000001,WUH721816ALE6L,16000900661248,0,0,25278,0,0,30,0,0
2025-10-08,SIM000001,WUH721816ALE6L,16000900661248,0,0,25302,0,0,33,0,0
2025-10-09,SIM000001,WUH721816ALE6L,16000900661248,0,1,25326,0,0,30,0,0
2025-10-10,SIM000001,WUH721816ALE6L,16000900661248,0,0,25350,0,0,26,0,0
2025-10-11,SIM000001,WUH721816ALE6L,16000900661248,0,0,25374,0,0,33,0,0
2025-10-12,SIM000001,WUH721816ALE6L,16000900661248,0,0,25398,0,0,36,0,0
2025-10-13,SIM000001,WUH721816ALE6L,16000900661248,0,0,25422,0,0,28,0,0
2025-10-14,SIM000001,WUH721816ALE6L,16000900661248,0,0,25446,0,0,30,0,0
2025-10-15,SIM000001,WUH721816ALE6L,16000900661248,0,2,25470,0,0,33,0,0
2025-10-16,SIM000001,WUH721816ALE6L,16000900661248,0,0,25494,0,0,26,0,0
2025-10-17,SIM000001,WUH721816ALE6L,16000900661248,0,0,25518,0,0,32,0,0
2025-10-18,SIM000001,WUH721816ALE6L,16000900661248,0,0,25542,0,0,31,2,0
2025-10-19,SIM000001,WUH721816ALE6L,16000900661248,0,0,25566,0,0,32,0,0
2025-10-20,SIM000001,WUH721816ALE6L,16000900661248,0,3,25590,0,0,33,1,0
2025-10-01,SIM000002,HUH721212ALE600,12000138625024,0,0,5101,0,0,27,0,0
2025-10-02,SIM000002,HUH721212ALE600,12000138625024,0,1,5125,0,0,26,0,0
2025-10-03,SIM000002,HUH721212ALE600,12000138625024,0,0,5149,0,0,34,0,0
2025-10-04,SIM000002,HUH721212ALE600,12000138625024,0,4,5173,0,0,33,3,0
2025-10-05,SIM000002,HUH721212ALE600,12000138625024,0,0,5197,0,0,32,0,0
2025-10-06,SIM000002,HUH721212ALE600,12000138625024,0,0,5221,0,0,29,0,0
2025-10-07,SIM000002,HUH721212ALE600,12000138625024,0,0,5245,0,0,32,1,0
2025-10-08,SIM000002,HUH721212ALE600,12000138625024,0,0,5269,0,0,26,0,0
2025-10-09,SIM000002,HUH721212ALE600,12000138625024,0,0,5293,0,0,38,0,0
2025-10-10,SIM000002,HUH721212ALE600,12000138625024,0,0,5317,0,0,30,1,0
2025-10-11,SIM000002,HUH721212ALE600,12000138625024,0,0,5341,0,0,29,0,0
2025-10-12,SIM000002,HUH721212ALE600,12000138625024,0,5,5365,0,0,34,0,0
2025-10-13,SIM000002,HUH721212ALE600,12000138625024,0,0,5389,0,0,33,1,0
2025-10-14,SIM000002,HUH721212ALE600,12000138625024,0,0,5413,0,0,29,0,0
2025-10-15,SIM000002,HUH721212ALE600,12000138625024,0,1,5437,0,0,27,0,0
