serial_number,model,duration,event_observed,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_194_raw,smart_197_raw,smart_198_raw
WL200XXG,ST16000NM001G,90,0,0.0,17093.0,0.0,0.0,36.0,0.0,0.0
WL2014J6,ST16000NM001G,90,0,0.0,14613.0,0.0,0.0,40.0,0.0,0.0
WL2019LR,ST16000NM001G,10,0,0.0,16759.0,0.0,0.0,39.0,0.0,0.0
WL2024Q7,ST16000NM001G,90,0,0.0,18204.0,0.0,0.0,36.0,0.0,0.0
WL20323G,ST16000NM001G,90,0,0.0,8671.0,3.0,0.0,41.0,8.0,8.0
WL203QVL,ST16000NM001G,90,0,0.0,15036.0,0.0,0.0,34.0,0.0,0.0
WL205Z3T,ST16000NM001G,90,0,0.0,14587.0,0.0,0.0,47.0,0.0,0.0
WL208Y36,ST16000NM001G,90,0,37592.0,8895.0,6705.0,94498307631.0,25.0,192880.0,192880.0
WL2094P1,ST16000NM001G,90,0,0.0,8155.0,0.0,0.0,42.0,0.0,0.0
WL209MH0,ST16000NM001G,90,0,0.0,6619.0,0.0,0.0,36.0,0.0,0.0
WL209XEF,ST16000NM001G,90,0,0.0,12307.0,0.0,0.0,30.0,0.0,0.0
WL209Y50,ST16000NM001G,90,0,0.0,10551.0,0.0,0.0,49.0,0.0,0.0
WL209YJN,ST16000NM001G,90,0,0.0,8644.0,0.0,0.0,32.0,0.0,0.0
WL209ZAK,ST16000NM001G,90,0,0.0,8737.0,0.0,0.0,38.0,0.0,0.0
WL20A31J,ST16000NM001G,90,0,0.0,19363.0,0.0,0.0,39.0,0.0,0.0
WL20ANG8,ST16000NM001G,90,0,0.0,12763.0,0.0,0.0,42.0,0.0,0.0
WL20AYHY,ST16000NM001G,90,0,0.0,13199.0,0.0,0.0,37.0,0.0,0.0
WL20B7KQ,ST16000NM001G,90,0,0.0,12449.0,0.0,0.0,34.0,0.0,0.0
WL20BKR3,ST16000NM001G,90,0,0.0,18857.0,0.0,0.0,33.0,0.0,0.0
WL20DH9Q,ST16000NM001G,90,0,0.0,21592.0,0.0,0.0,32.0,0.0,0.0
WL20DP2M,ST16000NM001G,90,0,0.0,21192.0,0.0,0.0,30.0,0.0,0.0
WL20T2S8,ST16000NM001G,90,0,0.0,19429.0,0.0,0.0,40.0,0.0,0.0
WL20T2W4,ST16000NM001G,90,0,0.0,21594.0,0.0,0.0,30.0,0.0,0.0
WL20T2ZZ,ST16000NM001G,90,0,0.0,20100.0,0.0,0.0,40.0,0.0,0.0
WL20VM0P,ST16000NM001G,90,0,0.0,19949.0,0.0,0.0,46.0,0.0,0.0
WL20VMEQ,ST16000NM001G,90,0,0.0,18843.0,0.0,0.0,37.0,0.0,0.0
WL20VRJQ,ST16000NM001G,90,0,0.0,21445.0,0.0,0.0,34.0,0.0,0.0
ZL2017LW,ST16000NM001G,90,0,0.0,56765.0,0.0,0.0,30.0,0.0,0.0
ZL201LYA,ST16000NM001G,90,0,0.0,42171.0,0.0,0.0,30.0,0.0,0.0
ZL201WHG,ST16000NM001G,90,0,0.0,55135.0,0.0,0.0,32.0,0.0,0.0
ZL201X56,ST16000NM001G,90,0,16.0,42171.0,0.0,0.0,31.0,0.0,0.0
ZL201XFL,ST16000NM001G,90,0,72.0,54478.0,7.0,0.0,35.0,0.0,0.0
ZL201Y3B,ST16000NM001G,90,0,360.0,42171.0,0.0,0.0,32.0,0.0,0.0
ZL2020CG,ST16000NM001G,90,0,0.0,42096.0,0.0,0.0,35.0,0.0,0.0
ZL2020SB,ST16000NM001G,90,0,88.0,56777.0,0.0,0.0,26.0,0.0,0.0
ZL2022ZH,ST16000NM001G,90,0,8.0,42170.0,0.0,0.0,27.0,0.0,0.0
ZL20232M,ST16000NM001G,90,0,0.0,56778.0,0.0,0.0,26.0,0.0,0.0
ZL20237S,ST16000NM001G,90,0,0.0,55138.0,0.0,0.0,31.0,0.0,0.0
ZL2023DS,ST16000NM001G,90,0,0.0,55138.0,0.0,0.0,31.0,0.0,0.0
ZL2023GG,ST16000NM001G,90,0,0.0,42170.0,0.0,0.0,28.0,0.0,0.0
ZL2023V9,ST16000NM001G,90,0,16.0,54485.0,0.0,0.0,35.0,0.0,0.0
ZL202400,ST16000NM001G,90,0,0.0,54474.0,0.0,0.0,40.0,0.0,0.0
ZL2024BT,ST16000NM001G,90,0,40.0,54486.0,0.0,0.0,38.0,0.0,0.0
ZL2024GE,ST16000NM001G,90,0,0.0,42169.0,0.0,0.0,27.0,0.0,0.0
ZL2024KB,ST16000NM001G,90,0,96.0,56788.0,0.0,0.0,29.0,0.0,0.0
ZL2024YH,ST16000NM001G,90,0,0.0,55135.0,0.0,0.0,33.0,0.0,0.0
ZL202530,ST16000NM001G,90,0,0.0,56772.0,0.0,0.0,31.0,0.0,0.0
ZL20253M,ST16000NM001G,90,0,0.0,54482.0,0.0,0.0,37.0,0.0,0.0
ZL202558,ST16000NM001G,90,0,0.0,56780.0,0.0,0.0,34.0,0.0,0.0
ZL2025DV,ST16000NM001G,90,0,0.0,54487.0,0.0,0.0,40.0,0.0,0.0
ZL2025DX,ST16000NM001G,90,0,0.0,55134.0,0.0,0.0,29.0,0.0,0.0
